timestamp(ms),X,Y,Z,class
28237,-2.35,-1.45,-10.0,0
28249,-2.39,-1.45,-9.92,0
28261,-2.43,-1.45,-9.92,0
28273,-2.35,-1.53,-9.96,0
28285,-2.35,-1.49,-9.96,0
28297,-2.31,-1.49,-9.92,0
28309,-2.39,-1.49,-9.89,0
28321,-2.39,-1.49,-9.92,0
28333,-2.35,-1.45,-9.92,0
28345,-2.35,-1.45,-9.96,0
28357,-2.39,-1.45,-9.92,0
28369,-2.35,-1.49,-9.92,0
28381,-2.35,-1.45,-9.92,0
28393,-2.35,-1.45,-9.92,0
28405,-2.39,-1.49,-9.92,0
28417,-2.35,-1.53,-9.96,0
28429,-2.35,-1.45,-9.92,0
28441,-2.35,-1.49,-9.92,0
28453,-2.35,-1.45,-9.96,0
28465,-2.39,-1.45,-9.96,0
28477,-2.35,-1.45,-9.92,0
28489,-2.39,-1.45,-9.92,0
28501,-2.39,-1.49,-9.92,0
28513,-2.39,-1.45,-9.96,0
28525,-2.43,-1.45,-9.96,0
28537,-2.39,-1.45,-9.92,0
28549,-2.39,-1.41,-9.96,0
28561,-2.35,-1.41,-9.92,0
28573,-2.31,-1.45,-9.96,0
28585,-2.39,-1.45,-9.92,0
28597,-2.35,-1.45,-9.96,0
28609,-2.31,-1.49,-9.92,0
28621,-2.39,-1.49,-9.92,0
28633,-2.39,-1.45,-9.92,0
28645,-2.35,-1.45,-9.96,0
28657,-2.35,-1.45,-9.92,0
28669,-2.43,-1.45,-9.92,0
28681,-2.35,-1.45,-9.96,0
28693,-2.35,-1.45,-9.92,0
28705,-2.39,-1.49,-9.89,0
28717,-2.39,-1.49,-9.96,0
28729,-2.35,-1.49,-9.92,0
28741,-2.39,-1.49,-9.96,0
28753,-2.43,-1.49,-9.96,0
28765,-2.28,-1.49,-9.92,0
28777,-2.28,-1.49,-9.96,0
28789,-2.39,-1.49,-9.89,0
28801,-2.31,-1.45,-9.96,0
28813,-2.31,-1.45,-9.92,0
28825,-2.39,-1.49,-9.92,0
28837,-2.35,-1.49,-9.96,0
28849,-2.35,-1.41,-9.92,0
28861,-2.39,-1.49,-9.96,0
28873,-2.35,-1.49,-9.96,0
28885,-2.43,-1.49,-10.0,0
28897,-2.35,-1.45,-9.96,0
28909,-2.31,-1.41,-9.96,0
28921,-2.39,-1.49,-9.96,0
28933,-2.39,-1.45,-9.92,0
28945,-2.39,-1.45,-9.92,0
28957,-2.43,-1.49,-9.96,0
28969,-2.39,-1.49,-9.92,0
28981,-2.31,-1.49,-9.96,0
28993,-2.35,-1.45,-9.89,0
29005,-2.35,-1.45,-9.96,0
29017,-2.39,-1.45,-9.96,0
29029,-2.35,-1.45,-9.92,0
29041,-2.35,-1.45,-9.96,0
29053,-2.35,-1.45,-9.96,0
29065,-2.39,-1.45,-9.92,0
29077,-2.43,-1.49,-9.96,0
29089,-2.39,-1.49,-9.92,0
29101,-2.35,-1.53,-9.92,0
29113,-2.31,-1.49,-9.96,0
29125,-2.35,-1.49,-9.92,0
29137,-2.39,-1.49,-9.96,0
29149,-2.31,-1.49,-9.89,0
29161,-2.39,-1.49,-9.92,0
29173,-2.35,-1.49,-9.92,0
29185,-2.35,-1.45,-9.96,0
29197,-2.39,-1.49,-9.96,0
29209,-2.31,-1.49,-9.92,0
29221,-2.35,-1.49,-9.92,0
29233,-2.39,-1.45,-9.96,0
29245,-2.35,-1.45,-9.96,0
29257,-2.39,-1.49,-9.96,0
29269,-2.31,-1.49,-9.96,0
29281,-2.35,-1.45,-10.0,0
29293,-2.39,-1.41,-9.96,0
29305,-2.39,-1.45,-9.96,0
29317,-2.35,-1.49,-9.92,0
29329,-2.39,-1.45,-9.96,0
29341,-2.39,-1.45,-9.92,0
29353,-2.39,-1.49,-9.92,0
29365,-2.31,-1.53,-9.92,0
29377,-2.43,-1.49,-9.92,0
29389,-2.39,-1.49,-9.92,0
29401,-2.35,-1.45,-9.92,0
29413,-2.35,-1.49,-9.92,0
29425,-2.35,-1.45,-9.96,0
29437,-2.35,-1.45,-9.92,0
29449,-2.35,-1.49,-9.92,0
29461,-2.35,-1.49,-9.92,0
29473,-2.31,-1.45,-9.96,0
29485,-2.39,-1.53,-9.89,0
29497,-2.39,-1.45,-9.92,0
29509,-2.31,-1.41,-9.92,0
29521,-2.39,-1.45,-9.92,0
29533,-2.31,-1.53,-9.92,0
29545,-2.39,-1.45,-9.96,0
29557,-2.31,-1.49,-9.96,0
29569,-2.35,-1.49,-9.96,0
29581,-2.35,-1.45,-9.92,0
29593,-2.39,-1.49,-9.96,0
29605,-2.43,-1.49,-9.92,0
29617,-2.43,-1.49,-9.96,0
29629,-2.39,-1.45,-9.96,0
29641,-2.35,-1.45,-9.92,0
29653,-2.35,-1.49,-9.92,0
29665,-2.31,-1.45,-9.92,0
29677,-2.39,-1.41,-9.96,0
29689,-2.43,-1.45,-9.96,0
29701,-2.39,-1.49,-9.92,0
29713,-2.31,-1.49,-9.96,0
29725,-2.39,-1.49,-9.96,0
29737,-2.39,-1.49,-9.89,0
29749,-2.39,-1.45,-9.92,0
29761,-2.31,-1.49,-9.92,0
29773,-2.31,-1.45,-9.92,0
29785,-2.39,-1.45,-9.92,0
29797,-2.39,-1.41,-9.92,0
29809,-2.39,-1.45,-9.92,0
29821,-2.35,-1.45,-9.92,0
29833,-2.39,-1.45,-9.96,0
29845,-2.39,-1.45,-9.96,0
29857,-2.39,-1.49,-9.89,0
29869,-2.35,-1.53,-9.96,0
29881,-2.39,-1.49,-9.96,0
29893,-2.39,-1.45,-9.96,0
29905,-2.39,-1.49,-9.89,0
29917,-2.39,-1.45,-9.96,0
29929,-2.31,-1.45,-9.96,0
29941,-2.43,-1.45,-9.96,0
29953,-2.35,-1.45,-9.92,0
29965,-2.39,-1.49,-9.92,0
29977,-2.35,-1.49,-9.96,0
29989,-2.31,-1.45,-9.96,0
30001,-2.39,-1.41,-9.96,0
30013,-2.39,-1.45,-10.0,0
30025,-2.31,-1.49,-9.92,0
30037,-2.35,-1.49,-9.96,0
30049,-2.35,-1.45,-9.92,0
30061,-2.35,-1.45,-9.92,0
30073,-2.43,-1.49,-10.0,0
30085,-2.31,-1.49,-9.96,0
30097,-2.35,-1.45,-9.92,0
30109,-2.39,-1.53,-9.96,0
30121,-2.39,-1.49,-9.96,0
30133,-2.39,-1.49,-9.92,0
30145,-2.35,-1.49,-9.96,0
30157,-2.39,-1.49,-9.96,0
30169,-2.35,-1.41,-9.92,0
30181,-2.35,-1.49,-9.96,0
30193,-2.39,-1.49,-9.96,0
30205,-2.39,-1.45,-9.96,0
30217,-2.31,-1.45,-9.92,0
30229,-2.39,-1.41,-9.96,0
30241,-2.39,-1.49,-9.92,0
30253,-2.39,-1.49,-9.92,0
30265,-2.35,-1.49,-9.89,0
30277,-2.31,-1.49,-9.89,0
30289,-2.35,-1.53,-9.96,0
30301,-2.39,-1.45,-9.96,0
30313,-2.39,-1.49,-9.96,0
30325,-2.39,-1.49,-9.92,0
30337,-2.35,-1.49,-9.96,0
30349,-2.31,-1.45,-9.96,0
30361,-2.35,-1.49,-9.92,0
30373,-2.43,-1.49,-9.92,0
30385,-2.35,-1.45,-9.96,0
30397,-2.35,-1.41,-9.92,0
30409,-2.35,-1.45,-9.96,0
30421,-2.39,-1.49,-9.96,0
30433,-2.39,-1.45,-9.92,0
30445,-2.39,-1.53,-10.0,0
30457,-2.35,-1.49,-9.96,0
30469,-2.35,-1.53,-9.92,0
30481,-2.35,-1.49,-9.96,0
30493,-2.39,-1.45,-10.0,0
30505,-2.39,-1.45,-9.96,0
30517,-2.39,-1.45,-9.96,0
30529,-2.39,-1.49,-9.92,0
30541,-2.39,-1.49,-9.96,0
30553,-2.39,-1.49,-9.92,0
30565,-2.39,-1.49,-9.92,0
30577,-2.35,-1.49,-9.92,0
30589,-2.35,-1.45,-9.92,0
30601,-2.35,-1.45,-9.96,0
30613,-2.43,-1.45,-9.89,0
30625,-2.39,-1.45,-9.92,0
30637,-2.39,-1.45,-9.96,0
30649,-2.39,-1.41,-9.96,0
30661,-2.39,-1.49,-9.96,0
30673,-2.31,-1.49,-9.96,0
30685,-2.39,-1.45,-10.0,0
30697,-2.39,-1.49,-9.89,0
30709,-2.35,-1.49,-9.96,0
30721,-2.39,-1.49,-9.96,0
30733,-2.35,-1.49,-9.96,0
30745,-2.35,-1.45,-9.96,0
30757,-2.39,-1.45,-9.96,0
30769,-2.39,-1.45,-9.92,0
30781,-2.43,-1.45,-9.96,0
30793,-2.35,-1.45,-9.96,0
30805,-2.39,-1.45,-9.96,0
30817,-2.43,-1.45,-9.96,0
30829,-2.39,-1.49,-9.96,0
30841,-2.35,-1.45,-9.92,0
30853,-2.35,-1.37,-9.92,0
30865,-2.35,-1.45,-9.96,0
30877,-2.39,-1.49,-9.96,0
30889,-2.31,-1.49,-9.96,0
30901,-2.35,-1.45,-9.92,0
30913,-2.39,-1.41,-9.92,0
30925,-2.31,-1.49,-9.96,0
30937,-2.43,-1.45,-9.92,0
30949,-2.31,-1.45,-10.0,0
30961,-2.35,-1.49,-9.92,0
30973,-2.35,-1.49,-9.89,0
30985,-2.39,-1.53,-9.96,0
30997,-2.39,-1.45,-9.92,0
31009,-2.39,-1.49,-9.96,0
